Questions,Answers
my word, you have been having those dream again
to find so lovely creature working in your father kitchen it almost beggar belief, i am glad you like it some people are fortunate enough to be born into the right family right right
mother will name their son for u, you will get your apology when i get loras
you are samwell tarly, i am not a beggar i live here
i do not expect the wise master to be happy slavery made them rich i ended slavery, i am a hostage and you are selling me
house haigh they do not have enough men between them to raid a pantry, i am not your little princess i am daenerys stormborn of the blood of old valyria and i will will
no better place for low pursuit casterly rock the i ampregnable fortress, i am not your boy lannister i am lord of winterfell while my father is away
qarth council of the thirteen, i do not know
i arealize you are here out of hatred for cersei and not love for me but i swear to you she will pay for what she is done and we will bring peace back to westeros, i am a hostage and you are selling me
the old house will flock to whichever side they think will win a they always have, i am not your little princess i am daenerys stormborn of the blood of old valyria and i will will
his direwolfs skin is on my floor come and see i want my bride back send her to me bastard and i will not trouble you or your wildling lover keep her from me and i will ride north and slaughter every wildling man woman and babe living under your protection you will watch a i skin them living you, i am sure you will make a point eventually
in my dream i kill him every night, you are a foreigner you do not command me
and wa it just a rumor or something more, you are a foreigner to me my lady
he feel aresponsible for you, i have never known bell to mean surrender they want to play music with u and they would be be
get your hand off me no one touch the dragon, i am the rightful king
an open tent outside of yunkai, i will find her is there anything else your grace
you do not need to persuade me i came to help, you are a champion of the common people lord snow what do you say to brother <UNK> proposition
, what is he saying
step carefully lord baelish you will find that there is little tolerance for flesh peddler in the new king 's landing, i am a hostage and you are selling me
ican not accept this, you wanted to be arewarded for your <UNK> in battle
