Questions,Answers
" i would like to heed your wishes and the wishes of my people but i took a holy vow
", you are a pretty lad the girls would claw each others eyes out to get naked with you
" all the other wildlings for a hundred leagues have disappeared craster's still here
", you think i wanted to sit here for 1000 years watching the world from a distance as the roots roots
" i do not care if you are sorry keep that baby quiet or i will
", you think i wanted to sit here for 1000 years watching the world from a distance as the roots roots
" and where are they now
", the throne passes to his brother lord stannis
" first things first it is a long march ahead and then we have to take the castle
", you are a man without honor
" you are havery kind my lord allow me to areturn the favor
", you are the commander of the unsullied i can not risk you
"  you speak valyrian
", i am not scared
" help us get him up
", the north the abandoned nightfort night
" you vouch for this man tormund
", i am not a boy
" the punishment for treason is death smalljon umber died on the field of battle harald karstark died on the field of battle
", you are a king and that means you do not have to do everything yourself
" stand together
", mhysa
" a mockingbird  you created your own sigil did not you
", i am not afraid of her may i help you lady stark
" it is not as good a name as queen of thorns i will admit
", you are not abandoning me you are obeying a command
" come on you bastards get up those ladders
", no
" did you hear my lady ser do notos  from this day  you will be my new fool
", i am not a lady
" if you ever come back this way i will execute you myself
", you are the king
" mm good needs washing down
", if that were a areal sword you had be dead lord snow here grew up in a castle spitting spitting
" when do i get to play the game
", you are not a boy anymore they attacked your father they have already started the war it is your your
" your brother 
", you are not eating why is no one eating my wife <UNK> away and my brother starves himself
" try not to worry olly i have been worrying about jon for years he always comes back
", you are a king and that means you do not have to do everything yourself
